Symbol,Name,Market Cap,Price,Circulating Supply,Cryptocurrency
DIME,Dimecoin,"$4,417,512",$0.000008,"5,3711E+11",coin
ADC,AudioCoin,"$4,270,005",$0.005120,833925176,coin
NTRN,Neutron,"$4,257,735",$0.133097,31989716,coin
VRM,VeriumReserve,"$4,166,973",$3.07,1359016,coin
SYNX,Syndicate,"$4,056,374",$0.251542,16126030,coin
GCC,TheGCCcoin,"$4,050,713",$0.008147,497174956,coin
EAC,EarthCoin,"$4,014,533",$0.000349,11490449756,coin
THC,HempCoin,"$3,858,017",$0.016894,228364777,coin
BLITZ,Blitzcash,"$3,832,536",$0.934082,4102997,coin
TIPS,FedoraCoin,"$3,817,256",$0.000009,"4,43168E+11",coin
TRUST,TrustPlus,"$3,755,383",$0.117039,32086595,coin
XGOX,GO! Coin,"$3,708,948",$0.018531,200142895,coin
GEO,GeoCoin,"$3,551,413",$1.08,3290173,coin
RIC,Riecoin,"$3,514,324",$0.090583,38796775,coin
BTM,Bitmark,"$3,477,571",$0.489421,7105480,coin
EGC,EverGreenCoin,"$3,476,620",$0.260982,13321301,coin
EFL,e-Gulden,"$3,427,058",$0.220735,15525666,coin
BRX,Breakout Stake,"$3,425,614",$0.546517,6268082,coin
MEME,Memetic,"$3,395,910",$0.206328,16458796,coin
2GIVE,2GIVE,"$3,379,663",$0.006542,516613240,coin
ZCL,ZClassic,"$3,368,635",$1.86,1809800,coin
MINT,Mintcoin,"$3,302,743",$0.000132,24947260808,coin
SBD,Steem Dollars,"$3,256,799",$0.984571,3307836,coin
NOTE,DNotes,"$3,242,391",$0.025170,128818117,coin
XPM,Primecoin,"$3,149,258",$0.148115,21262250,coin
VIVO,VIVO,"$3,129,823",$5.08,615823,coin
BCO,BridgeCoin,"$3,069,788",$0.117112,26212416,coin
TRC,Terracoin,"$3,028,270",$0.141638,21380350,coin
SPR,SpreadCoin,"$2,951,111",$0.325544,9065167,coin
PKB,ParkByte,"$2,894,089",$0.607488,4764026,coin
DOPE,DopeCoin,"$2,890,115",$0.026017,111085648,coin
BRK,Breakout,"$2,887,603",$0.159166,18142083,coin
FIMK,FIMKrypto,"$2,737,783",$0.004745,577004618,coin
SXC,Sexcoin,"$2,728,957",$0.021812,125110357,coin
BLU,BlueCoin,"$2,704,323",$0.004706,574683675,coin
XP,XP,"$2,477,385",$0.000015,"1,63295E+11",coin
PUT,PutinCoin,"$2,475,811",$0.012333,200745265,coin
CRAVE,Crave,"$2,458,148",$1.73,1423503,coin
VTR,vTorrent,"$2,418,255",$0.223582,10815966,coin
KRB,Karbowanec,"$2,415,218",$0.511701,4719978,coin
ONION,DeepOnion,"$2,386,360",$0.637150,3745366,coin
NYC,NewYorkCoin,"$2,323,171",$0.000018,"1,29033E+11",coin
INN,Innova,"$2,269,748",$4.20,541004,coin
RAIN,Condensate,"$2,266,738",$0.029827,75995929,coin
